Tue Jun 20 21:37:11 2006	unknow	0	53097	0	0
Tue Jun 20 21:37:11 2006	unknow	0	31872	0	0
Tue Jun 20 21:37:11 2006	unknow	0	43126	0	0
Tue Jun 20 21:47:47 2006	unknow	0	0	0	0
Tue Jun 20 21:47:47 2006	unknow	0	0	0	0
Tue Jun 20 21:47:47 2006	unknow	0	0	0	0
Wed Jun 21 23:02:22 2006	unknow	0	0	0	0
Wed Jun 21 23:02:22 2006	unknow	0	0	0	0
Wed Jun 21 23:02:22 2006	unknow	0	0	0	0
Wed Jun 21 23:02:50 2006	unknow	0	0	0	0
Wed Jun 21 23:02:50 2006	unknow	0	0	0	0
Wed Jun 21 23:02:50 2006	unknow	0	0	0	0
Wed Jun 28 13:58:43 2006	unknown	0	0	0	0
Wed Jun 28 13:58:43 2006	unknown	0	0	0	0
Wed Jun 28 13:58:43 2006	unknown	0	0	0	0
Wed Jun 28 13:59:07 2006	unknown	0	0	0	0
Wed Jun 28 13:59:07 2006	unknown	0	0	0	0
Wed Jun 28 13:59:07 2006	unknown	0	0	0	0
Thu Jul  6 16:17:02 2006	131.193.181.161	34871	/home/u2/yunhong/work/data/test.txt	0	0	0
Thu Jul  6 16:17:02 2006	131.193.181.161	34874	/home/u2/yunhong/work/data/test.txt	0	0	0
Thu Jul  6 16:17:02 2006	131.193.181.161	34877	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 14:42:59 2006	131.193.181.161	33281	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 14:42:59 2006	131.193.181.161	33281	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 14:42:59 2006	131.193.181.161	33281	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 14:50:46 2006	131.193.181.161	33283	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 14:50:46 2006	131.193.181.161	33283	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 14:50:46 2006	131.193.181.161	33283	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 15:01:27 2006	131.193.181.161	33285	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 15:01:27 2006	131.193.181.161	33285	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 15:01:27 2006	131.193.181.161	33285	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 15:10:46 2006	131.193.181.161	33287	/home/u2/yunhong/work/data/test.txt	0	0	0
Mon Aug 28 15:10:46 2006	131.193.181.161	33287	/home/u2/yunhong/work/data/test.txt	0	0	0
